title,address,description,price,contact,images
3 bedroom end of terrace house for sale,"Stubbs Gardens (Plot 20), Alexandra Road, Great Wakering, Essex, SS3","Tenure: Freehold,BRAND NEW THREE BEDROOM END OF TERRACE FAMILY HOME","399,000", 01702 787699,"https://media.onthemarket.com/properties/15322236/1500466737/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322236/1500466737/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322236/1500466737/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322236/1500466737/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322236/1500466737/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322236/1500466737/image-4-480x320.jpg"
2 bedroom flat for sale,"Hertford Road, London","Tenure: Share of freehold (960 years remaining),764 sq ft floor area","270,000", 020 8115 1340,"https://media.onthemarket.com/properties/15322233/1500466713/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322233/1500466713/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322233/1500466713/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322233/1500466713/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322233/1500466713/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322233/1500466713/image-4-480x320.jpg"
2 bedroom apartment for sale,"at Liverpool City Apartment, Old Hall Street L3","Tenure: Leasehold,Call Now to Receive a Floor Plan and Info Pack","210,000", 0151 382 3136,"https://media.onthemarket.com/properties/15322232/1500466687/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322232/1500466687/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322232/1500466687/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322232/1500466687/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322232/1500466687/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322232/1500466687/image-4-480x320.jpg"
1 bedroom apartment for sale,"at Liverpool Views Apartment, Rose Place L3","Tenure: Leasehold,Call Now to Receive a Floor Plan and Info Pack","110,000", 0151 382 5871,"https://media.onthemarket.com/properties/15322230/1500466596/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-4-480x320.jpg"
2 bedroom end of terrace house for sale,"Edward Street, Rusthall, Tunbridge Wells","Tenure: Freehold,End of Terrace,Project Property,2 Bedrooms","285,000", 01892 310740,"https://media.onthemarket.com/properties/15316285/1500340931/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"The Marsh, Longbridge Deverill, Longbridge Deverill, BA12","Tenure: Freehold,Semi Detached,Kitchen/family room,Lounge with woodburner","340,000", 01985 206963,"https://media.onthemarket.com/properties/15316062/1500338852/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Ormesby Road, Caister-on-Sea","Tenure: Freehold,Driveway,West Facing Garden,Ground Floor WC","210,000", 01493 288941,"https://media.onthemarket.com/properties/15316061/1500338846/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-4-480x320.jpg"
2 bedroom apartment for sale,"Goldsmiths House, The Nurseries, Leyburn, North Yorkshire, DL8","Tenure: Leasehold,Well Presented Ground Floor Apartment In Popular Location,5 Minutes From Town Centre,2 Double Bedrooms","195,000", 01969 738985,"https://media.onthemarket.com/properties/15316050/1500338796/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-4-480x320.jpg"
4 bedroom detached house for sale,"Holford, Bridgwater, Somerset, TA5","Tenure: Freehold,Detached,Private Parking,Close Proximity to The Quantock Hills","360,000", 01984 561990,"https://media.onthemarket.com/properties/15316046/1500338786/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-4-480x320.jpg"
4 bedroom detached house for sale,"Countryside Way, Rotherham","Tenure: Freehold,Four bedrooms,Detached house,Finished to an excellent standard","340,000", 01709 619794,"https://media.onthemarket.com/properties/15315650/1500335819/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500335819/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500335819/image-1-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500335819/image-2-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500346206/image-3-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500335819/image-4-480x320.jpg"
